rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,t,f,194099.12,f
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,t,f,198059.16,f
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,f,f,86424.57,f
53,15683553,O'Brien,788,France,Female,33,5,0,2,f,f,116978.19,f
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,f,f,164040.94,t
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,t,f,40014.76,t
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,t,t,113410.49,f
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,t,f,87107.57,f
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,f,f,45613.75,f
59,15623944,T'ien,511,Spain,Female,66,4,0,1,t,f,1643.11,t
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,t,t,46775.28,f
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,f,f,84509.57,f
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,f,f,126494.82,f
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,f,f,178798.13,f
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,t,t,99398.36,f
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,t,t,92840.67,f
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,t,t,27758.36,f
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,t,f,110431.51,f
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,t,t,196673.28,f
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,f,t,113656.85,f
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,t,f,18203,f
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,t,f,28373.86,t
72,15620344,McKee,813,France,Male,29,6,0,1,t,f,33953.87,f
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,f,t,44203.55,f
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,t,t,58426.81,f
75,15770811,Wallace,519,France,Male,36,9,0,2,f,t,145562.4,f
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,t,f,22388,f
77,15614049,Hu,664,France,Male,55,8,0,2,t,t,139161.64,f
78,15662085,Read,678,France,Female,32,9,0,1,t,t,148210.64,f
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,f,t,194239.63,f
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,t,f,98301.61,f
81,15706021,Buley,665,France,Female,34,1,96645.54,2,f,f,171413.66,f
82,15663706,Leonard,777,France,Female,32,2,0,1,t,f,136458.19,t
83,15641732,Mills,543,France,Female,36,3,0,2,f,f,26019.59,f
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,t,t,159235.29,f
85,15738751,Beit,493,France,Female,46,4,0,2,t,f,1907.66,f
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2,t,t,114675.75,f
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,t,f,128643.35,t
88,15625759,Rowley,729,France,Male,30,9,0,2,t,f,151869.35,f
89,15622897,Sharpe,646,France,Female,46,4,0,3,t,f,93251.42,t
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,t,t,156791.36,f
91,15757535,Heap,647,Spain,Female,44,5,0,3,t,t,174205.22,t
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,t,f,147132.46,f
93,15809248,Cole,524,France,Female,36,10,0,2,t,f,109614.57,f
94,15640635,Capon,769,France,Male,29,8,0,2,t,t,172290.61,f
95,15676966,Capon,730,Spain,Male,42,4,0,2,f,t,85982.47,f
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,f,t,64595.25,f
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,t,t,197276.13,f
99,15604348,Allard,710,Spain,Male,22,8,0,2,f,f,99645.04,f
100,15633059,Fanucci,413,France,Male,34,9,0,2,f,f,6534.18,f
101,15808582,Fu,665,France,Female,40,6,0,1,t,t,161848.03,f
102,15743192,Hung,623,France,Female,44,6,0,2,f,f,167162.43,f
103,15580146,Hung,738,France,Male,31,9,82674.15,1,t,f,41970.72,f
104,15776605,Bradley,528,Spain,Male,36,7,0,2,t,f,60536.56,f
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1,t,t,177655.68,t
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,t,t,30984.59,t
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,t,t,10054.53,f
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,f,t,36976.52,f
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,f,f,71862.79,f
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,t,f,99449.86,t
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,f,t,63082.88,f
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,t,f,27231.26,f
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,f,f,86797.41,f
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,f,t,22994.32,f
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,f,t,101300.94,t
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,t,t,74169.13,f
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,t,f,115638.29,f
118,15698028,Duncan,506,France,Female,41,1,0,2,t,f,31766.3,f
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,t,f,199725.39,t
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,t,f,120834.48,f
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,f,f,38131.77,f
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,f,f,100130.95,f
123,15690673,Cameron,656,France,Female,39,6,0,2,t,f,141069.88,f
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,t,t,198129.36,f
125,15779659,Zetticci,625,France,Female,28,3,0,1,f,f,183646.41,f
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,t,f,110265.24,t
127,15671137,MacDonald,549,France,Female,52,1,0,1,f,t,8636.05,t
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,t,f,46824.08,t
129,15575492,Kennedy,828,France,Female,41,7,0,2,t,f,171378.77,f
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,t,f,167256.35,f
131,15740404,He,758,France,Female,34,3,0,2,t,t,124226.16,f
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,t,t,114935.21,f
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,t,t,35608.88,f
134,15642004,Alekseeva,686,France,Male,25,1,0,2,f,t,16459.37,f
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,t,t,124411.08,f
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,t,t,34941.23,f
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,f,t,167784.28,f
138,15610156,Ma,637,France,Male,40,2,133463.1,1,f,t,93165.34,f
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,t,f,75161.25,t
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,f,t,8590.83,t
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,t,f,189543.9,f
142,15724944,Tien,663,France,Male,34,7,0,2,t,t,180427.24,f
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,t,t,193318.33,f
144,15713483,Greeves,793,Spain,Male,52,2,0,1,t,f,159123.82,t
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,t,f,126213.84,t
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,t,t,54141.5,f
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,t,f,141075.51,f
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,f,f,24495.03,f
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,t,f,74836.34,f
150,15794413,Harris,416,France,Male,32,0,0,2,f,t,878.87,f
151,15650237,Morgan,754,Spain,Female,32,7,0,2,t,f,89520.75,f
152,15759618,Alexeeva,535,France,Female,48,9,0,1,t,f,149892.79,t
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,t,f,180800.42,f
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,t,f,98646.22,f
155,15709368,Milne,614,France,Female,43,6,0,2,t,t,109041.53,f
156,15679145,Chou,706,Spain,Male,57,7,0,1,t,f,17941.16,t
157,15655007,Li,758,France,Female,33,7,0,2,f,f,82996.47,f
158,15623595,Clayton,586,Spain,Female,28,2,0,2,t,t,92067.35,f
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,f,t,104719.66,f
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,f,f,112687.57,f
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,f,t,84699.56,f
162,15641122,Wei,684,France,Male,30,2,0,2,t,f,83473.82,f
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,f,f,47125.11,f
164,15680772,Hu,721,Spain,Female,36,2,0,2,t,t,106977.8,f
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,t,f,55582.54,t
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,t,t,139874.43,f
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,t,f,162503.48,t
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,t,f,196499.96,f
169,15574692,Pinto,667,Spain,Female,39,2,0,2,t,f,40721.24,t
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,f,f,53134.3,f
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,t,f,164017.89,f
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,t,f,155996.96,f
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,t,f,5472.7,t
174,15586310,Ting,578,France,Male,30,4,169462.09,1,t,f,112187.11,f
175,15625524,Rowe,512,France,Male,40,5,0,2,t,t,146457.83,f
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,t,t,27286.1,f
177,15645248,Ho,510,France,Female,30,0,0,2,t,t,130553.47,f
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,f,f,179351.89,f
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,f,t,94774.12,f
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,t,f,8080.85,t
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,t,t,19482.5,f
182,15789669,Hsia,510,France,Male,65,2,0,2,t,t,48071.61,f
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,t,f,174531.27,f
184,15810845,T'ang,636,France,Male,42,2,0,2,t,t,55470.78,f
185,15719377,Cocci,804,France,Female,50,4,0,1,t,t,8546.87,t
186,15654506,Chang,514,France,Male,32,8,0,2,t,f,95857.18,f
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,t,f,194945.8,f
188,15708710,Ford,525,Spain,Female,37,0,0,1,f,t,131521.72,f
189,15726676,Marshall,616,Spain,Male,30,5,0,2,f,t,196108.51,f
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,t,f,148564.76,f
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,f,f,92982.61,t
192,15771086,Graham,512,France,Female,36,3,84327.77,2,t,f,17675.36,f
193,15756850,Golovanov,479,France,Male,40,1,0,2,f,f,114996.43,f
194,15702741,Potts,601,France,Male,32,8,93012.89,1,t,f,86957.42,f
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,t,f,128077.8,f
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,t,t,600.36,f
197,15635905,Moran,616,Spain,Female,32,6,0,2,t,t,43001.46,f
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,t,t,158591.12,f
199,15656176,Jenkins,501,France,Male,57,10,0,2,t,t,47847.19,f
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,t,f,10488.44,f
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,t,t,5978.2,f
202,15622911,Jude,759,France,Male,42,4,105420.18,1,f,t,121409.06,f
203,15600974,He,516,Spain,Male,50,5,0,1,f,t,146145.93,t
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,t,t,14374.86,t
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,t,f,94670.77,f
206,15773039,Ku,550,France,Male,37,3,0,1,t,t,179670.31,f
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,f,f,199304.74,t
208,15679531,Collins,618,France,Male,34,5,134954.53,1,t,t,151954.39,f
209,15684181,Hackett,643,France,Male,45,5,0,1,t,f,142513.5,t
210,15612087,Dike,671,France,Male,45,2,106376.85,1,f,t,158264.62,f
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,t,f,169381.9,f
212,15624592,Tan,603,France,Male,31,8,0,2,t,t,169915.02,f
213,15573152,Glassman,620,France,Female,41,9,0,2,f,f,88852.47,f
214,15594917,Miller,676,France,Female,34,1,63095.01,1,t,t,40645.81,f
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,f,f,60427.3,f
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,f,t,157959.02,t
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,t,f,133007.34,f
218,15786308,Millar,730,Spain,Female,33,9,0,2,f,f,176576.62,f
219,15659366,Shih,807,France,Male,43,1,105799.32,2,t,f,34888.04,t
220,15774854,Fuller,592,France,Male,54,8,0,1,t,t,28737.71,t
221,15725311,Hay,726,France,Female,31,9,114722.05,2,t,t,98178.57,f
222,15787155,Yang,514,Spain,Male,30,7,0,1,f,t,125010.24,f
223,15727829,McIntyre,567,France,Male,42,2,0,2,t,t,167984.61,f
224,15733247,Stevenson,850,France,Male,33,10,0,1,t,f,4861.72,t
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,t,t,108872.45,t
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,t,f,198252.88,f
227,15774393,Ch'ien,694,France,Female,30,9,0,2,t,t,26960.31,f
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,t,t,85746.52,t
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,t,f,77206.25,t
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,t,f,61048.53,f
231,15808473,Ringrose,673,France,Male,72,1,0,2,f,t,111981.19,f
232,15627000,Freeman,610,France,Male,40,0,0,2,t,f,62232.6,f
233,15787174,Sergeyev,512,France,Female,37,1,0,2,f,t,156105.03,f
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,f,t,150135.38,f
235,15704769,Smith,585,France,Female,67,5,113978.97,2,f,t,93146.11,f
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,t,f,33462.94,t
237,15711540,Pacheco,712,France,Female,29,2,0,1,t,t,144375,f
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,t,f,55803.96,t
239,15794056,Johnston,668,France,Female,46,2,0,3,t,f,89048.46,t
240,15795149,Stevens,703,France,Male,28,2,81173.83,2,f,t,162812.16,f
241,15812009,Grant,662,Spain,Male,38,4,0,2,t,f,136259.65,f
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,t,f,124052.97,f
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,f,t,74158.8,f
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,t,t,45071.09,t
245,15576269,Madison,523,Spain,Male,34,7,0,2,t,f,62030.06,f
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,t,f,131953.23,t
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,t,f,79414,f
248,15599792,Dimauro,545,France,Female,26,1,0,2,t,t,199638.56,f
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,t,t,157577.29,f
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,t,f,134420.75,t
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,f,f,99805.99,f
252,15753754,Morrison,587,Spain,Female,34,1,0,2,t,t,97932.68,f
253,15793726,Matveyeva,681,France,Female,79,0,0,2,f,t,170968.99,f
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,t,t,57558.95,f
255,15665834,Cheatham,696,Spain,Male,28,8,0,1,f,f,176713.47,f
256,15765297,Yao,766,Spain,Male,41,0,0,2,f,t,34283.23,f
257,15636684,Kirkland,727,France,Male,34,10,0,2,t,t,198637.34,f
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,f,f,156917.12,f
259,15750803,Jess,693,France,Female,30,6,127992.25,1,t,t,50457.2,f
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,t,t,140075.55,f
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,t,t,65323.11,f
262,15673481,Morton,726,Spain,Female,48,6,99906.19,1,t,f,64323.24,f
263,15686776,Rossi,557,France,Female,32,6,184686.41,2,t,f,14956.44,f
264,15673693,Reppert,682,France,Female,26,0,110654.02,1,f,t,111879.21,f
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,t,t,18606.23,f
266,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,t,f,123137.01,f
267,15653857,Wallis,498,France,Male,34,2,0,2,t,t,148528.24,f
268,15777076,Clark,651,France,Male,36,7,0,2,t,f,13898.31,f
269,15717398,Fielding,549,Spain,Female,39,7,0,1,f,f,81259.25,t
270,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,t,f,161051.75,f
271,15787071,Dulhunty,650,Spain,Male,41,9,0,2,f,t,191599.67,f
272,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,t,f,48559.19,t
273,15796505,Boyle,811,Germany,Female,34,1,149297.19,2,t,t,186339.74,f
274,15725166,Newton,707,France,Male,30,8,0,2,t,f,33159.37,f
275,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,f,t,93883.53,f
276,15758685,Dubinina,706,Spain,Female,37,7,0,2,t,t,110899.3,f
277,15694456,Toscani,756,France,Male,62,3,0,1,t,t,11199.04,t
278,15767339,Chiazagomekpere,777,France,Female,53,10,0,2,t,f,189992.97,f
279,15683562,Allen,646,France,Male,35,6,84026.86,1,f,t,164255.69,f
280,15782210,K'ung,714,France,Male,46,1,0,1,t,f,152167.79,t
281,15668893,Wilsmore,782,France,Male,39,8,0,2,t,t,33949.67,f
282,15669169,Hargreaves,775,Spain,Male,29,10,0,2,t,t,68143.93,f
283,15643024,Huang,479,Germany,Male,35,4,138718.92,1,t,t,47251.79,t
284,15699389,Ch'ien,807,France,Male,42,7,118274.71,1,t,t,25885.72,f
285,15708608,Wallwork,799,France,Female,22,8,174185.98,2,f,t,192633.85,f
286,15626144,Chu,675,France,Male,40,7,113208.86,2,t,f,34577.36,f
287,15573112,Kang,602,Spain,Male,29,5,103907.28,1,t,f,161229.84,f
288,15790678,Davidson,475,France,Female,32,8,119023.28,1,t,f,100816.29,f
289,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,t,t,181694.44,f
290,15697307,Nnachetam,588,Spain,Male,34,10,0,2,t,f,79078.91,f
291,15652266,Chidiebele,703,Germany,Male,42,9,63227,1,f,t,137316.32,f
292,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,t,f,194926.86,f
293,15655774,Booth,583,France,Male,27,7,0,2,t,f,51285.49,f
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,f,f,150401.53,t
295,15785819,Shao,681,France,Male,38,3,0,2,t,t,112491.96,f
296,15723654,Tsao,773,France,Male,25,2,135903.33,1,t,f,73656.38,f
297,15774510,Tien,714,France,Female,31,4,125169.26,1,t,t,106636.89,f
298,15684173,Chang,687,Spain,Female,44,7,0,3,t,f,155853.52,t
299,15650068,Johnson,511,France,Male,58,0,149117.31,1,t,t,162599.51,f
300,15811490,French,627,France,Male,33,5,0,2,t,t,103737.82,f
301,15803976,Efremov,694,France,Female,31,10,0,2,t,f,160990.27,f
302,15682541,Hartley,616,Spain,Female,36,6,132311.71,1,f,f,15462.84,f
303,15695699,Calabrese,687,France,Male,35,8,0,2,t,f,10334.05,f
304,15624188,Chiu,712,France,Female,33,6,0,2,t,t,190686.16,f
305,15812191,Brennan,553,France,Male,33,4,118082.89,1,f,f,94440.45,f
306,15636673,Onwuatuegwu,667,France,Male,31,1,119266.69,1,t,t,28257.63,f
307,15594898,Hewitt,731,France,Male,43,2,0,1,t,t,170034.95,t
308,15660211,Shih,629,Germany,Male,35,7,156847.29,2,t,f,31824.29,f
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,t,f,127166.49,t
310,15746726,Doyle,438,Germany,Male,31,8,78398.69,1,t,f,44937.01,f
311,15712287,Pokrovskii,652,France,Female,80,4,0,2,t,t,188603.07,f
312,15702919,Collins,729,Germany,Male,30,6,63669.42,1,t,f,145111.37,f
313,15674398,Russo,642,France,Male,38,3,0,2,f,f,171463.83,f
314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,t,f,182822.5,f
315,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,t,t,87213.33,f
316,15581539,Atkinson,474,Spain,Male,37,3,0,2,f,f,57175.32,f
317,15662736,Doyle,559,France,Male,49,2,147069.78,1,t,f,120540.83,t
318,15666252,Ritchie,706,Spain,Male,42,9,0,2,t,t,28714.34,f
319,15677512,McEncroe,628,Spain,Female,22,3,0,1,t,f,85426.28,f
320,15626114,Pearson,429,France,Male,24,4,95741.75,1,t,f,46170.75,f
321,15810834,Gordon,525,Spain,Female,57,2,145965.33,1,t,t,64448.36,f
322,15678910,Ts'ai,680,France,Female,30,8,141441.75,1,t,t,16278.97,f
323,15694408,Lung,749,France,Male,40,1,139290.41,1,t,f,182855.42,t
324,15585215,Yuan,763,France,Female,31,4,0,2,f,f,50404.72,f
325,15682757,Pardey,734,France,Male,30,3,0,2,t,f,107640.25,f
326,15736601,Tai,716,France,Male,35,4,144428.87,1,t,f,134132.65,f
327,15601848,Scott,594,France,Male,35,2,0,2,t,f,103480.69,f
328,15736008,Hunter,644,France,Female,46,9,95441.27,1,t,f,108761.05,t
329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1,t,t,179012.3,f
330,15624528,L?,664,Germany,Male,26,7,116244.14,2,t,t,95145.14,f
331,15598493,Beach,656,France,Male,50,7,0,2,f,t,72143.44,f
332,15601274,Hsieh,667,Spain,Female,40,1,146502.07,1,t,f,19162.89,f
333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2,f,t,144680.18,f
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,t,f,177772.03,t
335,15742668,Day,626,Spain,Female,37,6,108269.37,1,t,f,5597.94,f
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,t,f,116828.51,t
337,15740476,Tsao,659,Germany,Female,32,3,150923.74,2,f,t,174652.51,f
338,15648064,Kennedy,649,France,Male,33,2,0,2,t,f,2010.98,f
339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,t,f,14109.85,t
340,15807923,Young,716,Germany,Female,39,10,115301.31,1,t,f,43527.4,t
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,f,t,86099.23,t
342,15786170,Tien,659,France,Male,31,4,118342.26,1,f,f,161574.19,f
343,15681081,Marrero,545,Spain,Female,47,5,0,2,t,t,38970.14,f
344,15684484,White,543,France,Male,22,8,0,2,f,f,127587.22,f
345,15785869,Pisano,718,France,Female,25,7,0,2,t,f,30380.12,f
346,15763859,Brown,840,France,Female,43,7,0,2,t,f,90908.95,f
347,15658935,Freeman,630,Germany,Female,34,9,106937.05,2,t,f,138275.01,f
